ensembl,gene_name,naive,4h,12h,24h
ENSMUSG00000054499,Dedd2,37.8933872,30.74828597,31.04177545,23.55050772
ENSMUSG00000054509,Parp4,11.5563792,10.80053408,8.120227212,6.338104185
ENSMUSG00000054517,Trim65,15.74053081,11.01042316,13.63345656,10.41948548
ENSMUSG00000054519,Zfp867,2.5974669,2.460363456,2.229747772,2.494654278
ENSMUSG00000054520,Sh3bp2,7.683479971,92.94238424,43.19827624,43.93120477
ENSMUSG00000054523,Ms4a5,0.438003363,0.288672832,0.265633375,0.210456015
ENSMUSG00000054526,Olfr1500,0.011510662,0.021700232,0.005903737,0
ENSMUSG00000054537,Tmprss11e,0.004187197,0.004291881,0,0.00845672
ENSMUSG00000054545,Ugt1a6a,0.08684926,0.042361499,0.019452217,0
ENSMUSG00000054555,Adam12,0.809078011,1.067136896,0.679860358,0.803684938
ENSMUSG00000054568,Usp17la,0.80939819,0.897620099,0.801237271,0.687062386
ENSMUSG00000054580,Pla2r1,1.763829472,2.434637391,0.877544415,1.455956977
ENSMUSG00000054582,Pabpc1l,0.65804633,1.970940063,0.419536355,0.41066297
ENSMUSG00000054594,Oscar,0.080211031,0.063657935,0.136150212,0.33274449
ENSMUSG00000054598,9130230L23Rik,3.04885014,3.178280558,1.82590429,1.858831058
ENSMUSG00000054604,Cggbp1,53.9669548,69.34885047,64.44116617,69.02596654
ENSMUSG00000054611,Kdm2a,92.44768438,83.38284655,68.87789211,65.33653566
ENSMUSG00000054612,Mgmt,0.771465468,0.433552336,1.695099241,1.757967104
ENSMUSG00000054619,Mettl7a1,2.060181881,0.951109327,1.438146308,1.094577945
ENSMUSG00000054626,Xlr,3.014335242,2.396182723,3.022572366,3.801070047
ENSMUSG00000054630,Ugt2b5,0,0,0,0
ENSMUSG00000054640,Slc8a1,0.300865601,0.113540131,0.09576169,0.046856762
ENSMUSG00000054641,Mmrn1,0.070161579,0.017659104,0.006583903,0.010525959
ENSMUSG00000054648,Zfp869,43.35043393,58.27272717,41.68498088,37.58140245
ENSMUSG00000054659,Pm20d2,0.09014481,0.053684936,0.030741937,0.045419362
ENSMUSG00000054662,Ano9,0.180166038,0.148029883,0.221617289,0.098111432
ENSMUSG00000054666,Olfr63,1.184399107,1.265376029,0.714290412,0.788967019
ENSMUSG00000054667,Irs4,0,0,0,0
ENSMUSG00000054672,5830411N06Rik,1.188863236,0.238853617,0.083271842,0.055747579
ENSMUSG00000054675,Tmem119,0.007338217,0,0,0.006666813
ENSMUSG00000054676,1600014C10Rik,36.39046223,22.43252865,25.1012392,22.25282665
ENSMUSG00000054679,Srsf12,3.077152831,1.664841865,1.19086461,0.988814574
ENSMUSG00000054690,Emcn,0,0,0,0.004051196
ENSMUSG00000054693,Adam10,22.83551456,42.71290626,28.51693351,31.85266674
ENSMUSG00000054702,Ap1s3,5.831612124,9.031210232,8.772870587,13.54046559
ENSMUSG00000054708,Ankrd24,2.187216254,2.402819302,2.305161936,2.284956754
ENSMUSG00000054715,Zscan22,5.075752618,8.909937007,9.272299391,8.507032476
ENSMUSG00000054716,Zfp771,3.394551856,8.390313623,10.7265714,9.252354109
ENSMUSG00000054717,Hmgb2,24.79729627,15.57379252,27.13475373,147.7868303
ENSMUSG00000054720,Lrrc8c,31.01909587,13.86319758,13.74446184,12.79106882
ENSMUSG00000054723,Vmac,8.861334885,5.911301462,7.843702213,5.435674536
ENSMUSG00000054727,1700013H16Rik,0,0,0,0
ENSMUSG00000054728,Phactr1,0.425067686,1.362712937,1.352663662,0.777652949
ENSMUSG00000054733,Msra,11.85110584,12.7233722,14.17470607,12.15955871
ENSMUSG00000054737,Zfp182,13.07134407,9.22261442,7.845442543,8.024412647
ENSMUSG00000054745,Gm9955,0,0,0,0
ENSMUSG00000054746,Abca15,0,0,0,0
ENSMUSG00000054752,Fsd1l,0.379222191,0.42044391,0.259883464,0.527834296
ENSMUSG00000054753,AU018091,0.10583516,0.129496951,0.044305515,0.06058822
ENSMUSG00000054757,Akr1c20,0,0,0,0
ENSMUSG00000054759,Krtap5-2,0,0,0,0
ENSMUSG00000054763,Defb42,1.119889023,1.176325366,0.705132693,0.668189907
ENSMUSG00000054764,Mtnr1a,0,0,0,0
ENSMUSG00000054766,Set,225.370648,565.7950598,724.5846519,889.6234194
ENSMUSG00000054770,Kctd18,17.66792643,13.83762192,12.00496169,11.38468962
ENSMUSG00000054792,Klhl18,8.204325882,5.31815794,5.606238791,5.453933231
ENSMUSG00000054793,Cadm4,0.153340743,0.169139829,0.11866008,0.24713128
ENSMUSG00000054808,Actn4,33.2751972,50.25470412,44.13593321,52.0579643
ENSMUSG00000054814,Usp46,2.562451312,2.561081999,4.301315449,5.976318976
ENSMUSG00000054823,Nsd3,64.0381959,47.5398687,47.70045808,43.31538297
ENSMUSG00000054827,Cyp2c50,0,0,0,0
ENSMUSG00000054836,Elp6,8.691038268,13.95711837,11.70523941,13.53107543
ENSMUSG00000054843,Atrnl1,2.77714566,2.140789916,2.647674237,3.014232523
ENSMUSG00000054850,Smim10l2a,0.046181403,0.05079391,0.051466653,0.428073793
ENSMUSG00000054855,Rnd1,1.734873499,1.562301207,0.905959266,1.587345153
ENSMUSG00000054863,Tafa5,0.028858274,0,0.010091386,0.016817312
ENSMUSG00000054871,Tmem158,0.232401903,0.359559055,0.49045436,1.025547624
ENSMUSG00000054874,Pcnx3,53.26385068,44.067121,29.14819832,25.39514735
ENSMUSG00000054885,4930578G10Rik,0.964384777,0.228661413,0.201929721,0.712467389
ENSMUSG00000054889,Dsp,0.010443999,0.119280289,0.02644573,0.096351101
ENSMUSG00000054890,Olfr1535,0.069329859,0.099232089,0.039402742,0.064604252
ENSMUSG00000054892,Txk,67.7962122,23.43299136,25.37368624,22.13375116
ENSMUSG00000054893,Zfp667,3.189898337,3.225677849,4.34862586,3.528992334
ENSMUSG00000054894,Dmac2l,2.855995198,4.094381477,5.302132928,3.526892157
ENSMUSG00000054901,Arhgef33,2.634063569,3.714666038,1.387627854,2.317645616
ENSMUSG00000054905,Stfa3,0,0.063940687,0,0
ENSMUSG00000054920,Klhl5,2.78326591,2.101229804,2.912377183,5.032462309
ENSMUSG00000054931,Zkscan4,0.022214348,0,0,0
ENSMUSG00000054932,Afp,8.496269902,3.572278507,7.379860557,6.681682703
ENSMUSG00000054934,Kcnmb4,7.796863698,5.768161129,5.146537801,5.710830655
ENSMUSG00000054938,Olfr1346,0.15576338,0.200153498,0.09109555,0.2220267
ENSMUSG00000054939,Zfp174,0.556370635,0.612550001,0.497468902,0.510624651
ENSMUSG00000054940,Olfr137,0.345513545,0.396534738,0.225446659,0.30321154
