Gene,log2FC,padj,meanTPM_Effector,meanTPM_Exhausted
Pdcd1,4.20528278385186,1.30502740361971e-91,20.3806042676541,413.833372074994
Ctla4,2.94200485568777,4.7849431252280695e-36,7.33810463810534,63.0247037025018
Lag3,4.66006434949835,8.90799105812696e-71,6.42695091194607,169.390656058361
Tigit,3.57009809566041,5.02715913757912e-36,10.5887236064507,142.499371405282
Tox,3.4238229944408,3.99243590892598e-64,9.80409167456495,119.084376093864
Nr4a1,4.91488730520546,5.34734666581005e-60,1.85506036856927,61.5790448579885
Nr4a2,6.20348571239296,7.00102456343564e-122,0.36542671629705,24.5042323910468
Nr4a3,2.74516831582137,1.5356905828657802e-15,0.227300081782092,1.87187156562068
Tcf7,-0.207274044314504,0.562429008338934,258.757151006253,237.308510081238
Tbx21,-1.19208910979058,0.0003267484369412,23.5640459082138,10.3807923268848
Eomes,-0.783124899301701,0.0017278665492943,9.04367495719157,5.46059859465614
Spp1,9.03797137252357,7.20832770049237e-169,0.196424582970657,111.223053167454
Klrg1,-7.22872343891134,1.60201339775315e-17,98.7504255410477,0.646055698231859
